title,poster,field,location,job_type,industry,salary,posting_age,minimum_qualification,experience_length,experience_level,qualification_1,qualification_2,qualification_3,qualification_4,qualification_5,job_summary,job_description
Marketing Officer,"
                                Utafiti Sacco Society
                            ",Marketing & Communications,Nairobi,Full Time,"Banking, Finance & Insurance","
                        KSh
                    
                    Confidential
                ","
                    22m
                ",Minimum Qualification: Bachelor,Experience Length: 3 years,Experience Level: Mid level,Minimum of 3 years relevant experience.,KCSE B-,KCSE B-,25-35 years of age,A Bachelor’s degree in marketing or related field. ,"
                        Job Summary
                    
                        The position will be responsible for carrying out product awareness campaigns using the society's communication tools which include a quarterly member awareness newsletter, an updated website, and other online and mobile phone applications.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 3 years","Reporting to Manager, this position is responsible for applying strategic business initiatives by undertaking marketing activities towards growing and retaining the society membership, savings mobilization and encouraging update of SACCO products and services to achieve a high level of customer satisfaction and profitability. Main Duties and ResponsibilitiesLead the marketing function and identify, analyze and implement new business growth opportunities.Develop and execute an annual strategic marketing plan that will expand the Sacco’s brand awareness, growth and serviceCarry out market intelligence and customer surveys; accelerate growth in membership and product uptake.Prepare and coordinate dissemination of communications to members on time using seminars, the updated website, members portal and other online and mobile phone applications.Educate the members on all society's applicable policies, new products and functions of the society's activities.Explain to customers the different types of loans and credit, and savings options that are available, as well as the terms of those services including advising members on loan eligibility.Participate in marketing promotions, institutional visits and any other publicity campaign as may be assigned and providing reports on the same.Preparation and presentation of monthly business report on achievement gained to the board.Carry out member satisfaction survey, on our services and products and provide analyzed data to the board.Advice the board on prospects for new business. Develop and keep in safe custody all marketing and promotional materials i.e. brochures, banners, etc.Key Result Areas:The accountability areas are as follows:Improved customer satisfaction.Increased market shares.Comparative analysis of markets trendsEfficient marketing strategies for all the Sacco’s products and servicesMember education and sensitization on new developments.Member recruitment and retentionQualifications and experienceMinimum of 3 years relevant experience.KCSE B-25-35 years of ageA Bachelor’s degree in marketing or related field. Proven track record in implementing marketing successful programs.Diploma in Co-operative Management will be an added advantage.Knowledge of Navision ERP or similar ERP solution for Saccos will be an added advantage.Skills and Desired QualitiesExcellent communication, influencing and presentation skills.Good people, interpersonal and networking skillsExcellent Planning and Organizing/ Work Management SkillsExcellent problem solving and analytical ability in cross-functional and multi-cultural environment; able to define problems, collect relevant data, extract meaning and draw valid conclusions."
Sales Administrator - ECTS Division,"
                                Track and Trace Ltd
                            ",Customer Service & Support,Nairobi,Full Time,Law Enforcement & Security,"
                        KSh
                    
                    Confidential
                ","
                    42m
                ",Minimum Qualification: Diploma,Experience Length: 2 years,Experience Level: Entry level,High organizational skills and ability to manage a number of projects at the same time.,Ability to prioritize own workload.,Ability to prioritize own workload.,Strong communication skills.,Well versed in IT skills for example Microsoft Office,"
                        Job Summary
                    
                        Supporting the sales force with general operations to help reach the team’s objectives.
                    Minimum Qualification: DiplomaExperience Level: Entry levelExperience Length: 2 years","PRIMARY RESPONSIBILITIESThe Sales Admin will be responsible for:Processing quotations and presentations for the sales team and others as may be necessaryContact clients to obtain missing information or answer queriesChecking prices, advising on pricing and ensuring contracts for all clients are up to date.Maintain and update sales and customer records in respective files as they fall dueProper and up to date filing of documentation for all ECTS business to the respective client and other filesSupporting the sales force with general operations to help reach the team’s objectives.Taking ECTS division phone calls and enquiries from customers when in officeCommunicating internally important feedback from customers through the rightful personnelWhen needed, liaise with operations department on service delivery mattersEnsure certificates are processed and picked on time from KRA through EPAKAttending level 10 meetings as per the TOS planDealing with and responding to emails from the clients and colleaguesAssist the Client relations in any support needed for the client maintenanceVerify delivery quantities and receipts of any ECTS business and maintain good records of any issuance doneAny other duty as may be assigned from time to timeKPISMeeting Set target for certificate processFeedback from staff on the certificate procedureFeedback time on quotations and contracts generationTime taken to respond on whatsapp requestsWeekly filing of all new accounts openedREQUIRED SKILLSHigh organizational skills and ability to manage a number of projects at the same time.Ability to prioritize own workload.Strong communication skills.Well versed in IT skills for example Microsoft OfficeAn administrative or sales background.Must be detail orientedExcellent listening, negotiation and presentation abilitiesStrong verbal and written communication skillsREPORTING LINE: The Client Service Manager OTHER CLOSE AFFILIATESTracking Sales Consultants-ECTSControl Room Operators-ECTSAccount Manager ECTSOperations Supervisor ECTSOTHER INFORMATIONSalary: Kshs 30,000 Gross salaryProbation: 6 months"
Project Manager,"
                                Compulynx Ltd
                            ",IT & Software,Nairobi,Full Time,Technology,"
                        KSh
                    
                    Confidential
                ","
                    1h
                ",Minimum Qualification: Bachelor,Experience Length: 10 years,Experience Level: Senior level,"Bachelor of Science in Information Technology, Computer Science and related courses is required; Master of Science in IT, Computer Science qualification plus a PGD in Project Management is a plus.","10+ years project/program management experience, and experience with some of the targeted technologies","10+ years project/program management experience, and experience with some of the targeted technologies",5+ years of experience in financial services,A good understanding of agile software development lifecycle.,"
                        Job Summary
                    
                        The purpose of the role is to lead multiple agile project streams within the Identity Management Digital Transformation Program
                    Minimum Qualification: BachelorExperience Level: Senior levelExperience Length: 10 years","Roles & ResponsibilitiesIdentifies, develops and executes strategies and supporting tactics to engage and influence all stakeholders to make needed behavioral changes.Creates a clear, coherent approach to guide effective program/initiative setup, execution and control.Manages project(s) with varying levels of complexity and/or may have broad scale accountability for the processes that support initiativesEnsures end results are of the highest caliber with a clearly articulated scope and quantifiable business benefitRigorously manages scope to ensure agreed/approved/appropriate value is delivered and commitments are achieved within time, cost, and quality parametersDirectly manages all aspects of the project life cycle and works with matrix partners to oversee all phases of the projectDrives the development of business requirements to satisfy business case objectives, customer and employee impact assessments, and communicationsRepresents the project in various project governance and inter-department forumsDefines and tracks project milestones while developing, maintaining, and reporting on an overall integrated delivery plan.Validates financial forecasts and provides on-going reconciliation of resources and other related project expenditures.Responsible for managing technology projects, risk-reduction processes with cross-functional or inter-departmental implications.Serves as primary contact to senior department managers for critical change initiatives.Responsible for analyzing present-state, developing alternative future-state approaches and facilitating implementation.Responsible for clearly defined responsibilities and accountabilities for key project roles.  Academic QualificationsBachelor of Science in Information Technology, Computer Science and related courses is required; Master of Science in IT, Computer Science qualification plus a PGD in Project Management is a plus.10+ years project/program management experience, and experience with some of the targeted technologies5+ years of experience in financial servicesA good understanding of agile software development lifecycle.Extensive background with Agile software delivery.Experience being a technical project manager who has managed multiple large and complex programs.Solid understanding of and demonstrated experience in using appropriate tools:Agile Project Management tools such as Jira, Rally, VersionOne or equivalentMicrosoft Project, Visio, and all Office ToolWorking Experience with one or more programming languages including but not limited to:Java/J2EE, Python, JavaScript Libraries - AngularJS, NodeJS, ReactJS, Mobile App Development - Android or iOSStrong knowledge with one or more relational and non-relational database systems: Oracle, MS SQL, My SQL, Postgressql,  MongoDB, Elasticsearch.Excellent verbal and communications skills. Provide clear, concise direction to the broader team while delivering comprehensive status to senior executives, Product Owners and Portfolio Delivery HeadsStrong independent leadership skills with the ability to lead a large team with minimal oversight including the ability to prioritize work and meet deadlinesStrong interpersonal skills including mentoring, coaching, collaborating, and team buildingStrong analytical, planning, and organizational skills with an ability to manage competing demandsCreative approach to problem-solving with the ability to focus on details while maintaining the “big picture” view.  "
Customer Service Representative,"
                            Anonymous
                        ",Customer Service & Support,Nairobi,Full Time,Manufacturing,"
                        KSh
                    
                    Confidential
                ","
                    8h
                ",Minimum Qualification: Diploma,Experience Length: 4 years,Experience Level: Mid level,Minimum Diploma in Business Management/ Customer Care or related field,At least 4 years customer care experience.,At least 4 years customer care experience.,Strong understanding of customer service,Fluent in both English and Kiswahili,"
                        Job Summary
                    
                        Serves customers by providing product and service information; resolving any issues regarding products and services.
                    Minimum Qualification: DiplomaExperience Level: Mid levelExperience Length: 4 years","Reporting to: Sales and Marketing ManagerLiaisons: Accounts/Production/ WarehouseLadies highly encouraged to apply.Duties and ResponsibilitiesAttend directly to customers either by telephone, email or face to face.Provide help and advice to customers using the Company’s products.Respond promptly to customer enquiries and orders.Resolve product problems by clarifying the customers’ complaint; determining the cause of the problem; selecting and explaining the best solution to solve the problem; expediting corrections or adjustments and following up to ensure resolution.Obtain and evaluate all relevant information to handle product and service inquiries.Provide pricing, delivery information and perform customer verifications.Organise workflow to meet customer timeframes, direct requests and unresolved issues to top management.Manage customer accounts, keep accurate records of customer interactions/ correspondence and transactions.Record details of all enquiries made by customers together with details of actions taken and prepare and submit customer activity reports to the top management.Maintain and update customer databases.Contribute to planning and implementing of sales and marketing strategies together with the team so as to achieve the envisioned business growth plan.Identify avenues for product improvements and on new products by constantly researching and remaining up to date with current industry trends, market activities and competitors.Develop partnership with customers to ensure successful market entry plans and trade management.Maintain effective communication channels between sales department and other departments to ensure smooth execution of business plans and strategies.To ensure complaints and after-sales service issues are managed in time and to the satisfaction of the customer.Proactively contribute to Company Safety, Health and Environmental objectives by promptly reporting any health, safety or environmental hazards.Perform as other duty as directed by the management.Competencies RequiredMinimum Diploma in Business Management/ Customer Care or related fieldAt least 4 years customer care experience.Strong understanding of customer serviceFluent in both English and KiswahiliAbility to give full attention to customers.Strong understanding of customer serviceAbility to identify complex problems and offer solutionsAnalytical thinkingAttention to detailInitiativeDependability.Excellent communication skills and an astute negotiator.High level of commercial awareness.Strong analytical, problem-solving and decision-making skills.Strong sense of teamwork and ability to work cross functionally with minimal supervision.High level of integrity.Very organised and able to handle multiple activitiesGood knowledge of IT and ERP Systems is a must."
"Senior Accountant - Dar es Salaam, Tanzania","
                                Summit Recruitment & Search
                            ","Accounting, Auditing & Finance",Outside Kenya,Full Time,Technology,"
                        KSh
                    
                    Confidential
                ","
                    4h
                ",Minimum Qualification: Bachelor,Experience Length: 3 years,Experience Level: Mid level,"Perform
daily accounting activities.","Facilitate
and complete monthly close procedures and prepare financial statements
including all supporting schedules according to the monthly close schedule.","Facilitate
and complete monthly close procedures and prepare financial statements
including all supporting schedules according to the monthly close schedule.","Prepare
weekly reports in according to group instruction.","Prepare
payments for all accounts due.","
                        Job Summary
                    
                        Our client a worldwide smart cards solutions provider is looking for Senior Accountant to be based in Dar es Salaam, Tanzania. The ideal candidate must have a minimum of 3 years’ experience in a similar position in a manufacturing industry.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 3 years","Key Responsibilities:Perform
daily accounting activities.Facilitate
and complete monthly close procedures and prepare financial statements
including all supporting schedules according to the monthly close schedule.Prepare
weekly reports in according to group instruction.Prepare
payments for all accounts due.Prepare
monthly account reconciliations.Assist
with analysing financial statements on a monthly basis and report on variances.Assist
with financial and tax audits.Assist
with preparing tax returns and corporate reporting requirements.Assist
in documentation and monitoring of internal controls. Qualifications: Must have a bachelor’s in Accounting
or Finance.Must have a strong understanding of
accounting theory.Must be a Tanzanian national with a
valid travel passport.Must have 3+ years
accounting/finance experience in a manufacturing industry. CPA will
be an added advantage. Highly
detail oriented and organized in work.Excellent
communication in English.Ability
to act and operate independently with minimal daily direction from manager to
accomplish objectives. Monthly Gross Salary: Monthly Gross Salary of TZS. 3,457,456 – 4,609,941 (Approx. 1,500 – 2,000 USD) depending
on individual skills and experience. Job Category: Lower Mid-Level. Education: Bachelor’s Degree.Job Location: Dar es Salaam, TanzaniaDeadline: 23rd May 2019. We endeavor to make
contact with all of our applicants, but unfortunately high volumes of
applications make this unrealistic. If you do not hear from us within two weeks
your application has not been successful on this occasion. This does not mean
you will not be considered for future roles so please keep an eye on our job
board and apply for positions that match your skills and experience.*** Summit Recruitment
& Search, as a policy, does not charge any fee as a pre-employment or
post-employment requirement***"
"Regional Sales Manager - COAST REGION (For Bread, Cakes and other FMCG Products)","
                                Skills Geographic
                            ",Sales,Mombasa,Full Time,Manufacturing,NA,"
                    18h
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Management level,"Design and
     implement the regional sales Strategy in line with the overall business
     strategy.","Coordinate
Sales, Marketing and distribution activities within the region.","Coordinate
Sales, Marketing and distribution activities within the region.","Develop,
Manage and motivate staff assigned to the sales, marketing & distribution
roles in the region.","Supports
the front line staff in building  strong
relationships with each customer by:Identifying
     business growth opportunities – (master of execution and brings a
     different perspective to identify opportunities sales staff may have
     missed)","
                        Job Summary
                    
                        Regional Sales Manager will be responsible for managing and supporting Company's route to market partners and staff within the Coast region
                    Minimum Qualification: BachelorExperience Level: Management levelExperience Length: 5 years","Position: Regional Sales Manager -COAST REGION (For Bread, Cakes and other FMCG Products)Employer:  A  Leading  Manufacturer of leading brand of Breads, Cakes and other Confectionery ProductsRef No:  SGK-RSM-COAST REGION-04-2019Industry:  ManufacturingJob Category: Middle ManagementTown: Coast RegionCountry: KenyaQualifications:University Degree in Marketing or other business related field.Experience:Minimum 5 years experience in a similar position in the FMCG Company.Those who have sold bread, cakes, biscuits and other confectionery products or other food products will have an added advantage.Duties/Responsibilities:The Regional Sales
Manager will be reporting to the Head of Sales & Marketing. He/She will be responsible for managing and supporting company
route to market partners and staff within the assigned region by managing the
sales and distribution activities of company Bakeries & related brands. Other duties includes:-Design and
     implement the regional sales Strategy in line with the overall business
     strategy.Coordinate
Sales, Marketing and distribution activities within the region.Develop,
Manage and motivate staff assigned to the sales, marketing & distribution
roles in the region.Supports
the front line staff in building  strong
relationships with each customer by:Identifying
     business growth opportunities – (master of execution and brings a
     different perspective to identify opportunities sales staff may have
     missed)Solving
     problems and removing obstacles for respective regionDevelops
     great relationshipsBeing
     an ambassador of our company and brandsAnalyze
     weekly reports for management reviewsManages
     and measures sales targets daily and takes corrective actionIdentifies
     competitor activities and develops and implements response tactics.Promotions
     – ensures promotions are implemented effectivelyDevelops & implements Internal Controls
e.g. in terms of staff attendance, budgets, use of allocated resources etc.Expected Salary: Kshs. 150,000 - 200,000 plus other Company benefits"
Content Provider,"
                                Group Africa Publishing Ltd
                            ",Marketing & Communications,Nairobi,Part Time,"Digital, Media & Communications",NA,"
                    18h
                ",Minimum Qualification: Unspecified,Experience Length: No Experience/Less than 1 year,Experience Level: No Experience,NA,NA,NA,NA,NA,"
                        Job Summary
                    
                        We are writing articles entitled top suppliers to the construction industry to be featured on our website and are looking for 5 people get the info.
                    Minimum Qualification: UnspecifiedExperience Level: No ExperienceExperience Length: No Experience/Less than 1 year","The job is as a freelancer and will pay 1000/= for every company interviewed that meets our criteria and who fill out a prepared questionaire.Our projection is that a person can earn upto 40,000/= a month if they interview only 2 companies a day.They will be expected to use skype calling to call selected companies and so will need to have access to both internet and  skype.This is a freelance position and there will be no need to visit our offices as you will work remotely.This is definitely a job for a self driven person not easily discouraged and who can show initiative with an eye on results.The successful people must have access to internet and a computer to utilise Skype for calling and will need to be fluent in English or at least one foreign language in order to communicate effectively.Constructionreviewonline.com"
"Senior Program Officer, Kenya","
                                Population Reference Bureau (PRB)
                            ",Project & Product Management,Nairobi,Full Time,NGO,"
                        KSh
                    
                    Confidential
                ","
                    1d
                ",Minimum Qualification: Bachelor,Experience Length: 7 years,Experience Level: Senior level,"Bachelor's degree in public health, sociology, demography, or another related field plus at least 7 years of project management experience or master’s degree and at least 5 years of project management experience.",Excellent written and verbal communications skills with attention to detail. ,Excellent written and verbal communications skills with attention to detail. ,Ability to perform multiple tasks and prioritize according to staff needs and deadlines. ,Ability to work independently. ,"
                        Job Summary
                    
                        PRB is seeking a Senior Program Officer (SPO), based in Nairobi to lead activities of the USAID-supported PACE (Policy, Advocacy, and Communication Enhanced for Population and Reproductive Health) project.  
                    Minimum Qualification: BachelorExperience Level: Senior levelExperience Length: 7 years","OverviewPACE ensures that family planning (FP) and population issues are included in policies and programs as key to sustainable and equitable development and economic growth.   In Kenya, PACE increases political and financial commitment for FP and reproductive health (RH) at national, and decentralized levels. To achieve these goals, the PACE Kenya team works to: (1) strengthen individual and institutional capacity in advocacy, policy communications, and negotiations; (2) increase commitment for multisectoral approaches to integrate population, health, environment, climate change, resilience, food security, livelihoods, and security programs at policy and program levels; and (3) analyze, synthesize, and disseminate data and information to engage policy and advocacy audiences to act.  PACE Kenya focuses on ensuring that program-based budgets in Busia, Narok, and Samburu counties prioritize funding for Reproductive Health, Maternal, Newborn, Child, and Adolescent Health (RMNCAH). The project also engages with national government to support leadership on population policy development and implementation.  and support our programs in areas of international population, women’s health, family planning, and development.    The Senior Program Officer will work under the leadership and supervision of the Deputy Project Director and liaise closely with DC-based PRB International Program Staff.  He/she will lead county activities in Narok and coordinate the work of county-based consultants in Busia and Samburu as well as with technical expert(s) across the project.  Globally, PRB has been at the cutting edge of synthesizing complex information for non-technical audiences; making quality information available in accessible formats; and nurturing communities where researchers and practitioners can exchange knowledge. PRB staff are experts in family planning, reproductive health, and population, including gender and youth, and in knowledge management, advocacy, communications, journalism, digital/multimedia, and research. Responsibilities:Manages county-level budget advocacy efforts in Busia, Narok, and Samburu counties to build capacity of county government in program-based budgeting and shore up commitments to RMNCAH.  Conducts training for youth advocates and members of the media on how to communicate with policymakers to strengthen political commitments to FP and RH. Supports PRB activities in Kenya, including facilitating communication with in-country and US based stakeholders and partners, and representing PRB at meetings/ events.Leads the development and implementation of policy advocacy strategies, action plans, and tools. Tools could include producing policy briefs and other written advocacy materials. Designs and oversees activity implementation, deliverables, and workplan inclusive of monitoring consultants and sub-awards to ensure deliverables are submitted on time and within budget.Oversees and adjusts activity budget, including staff time and other direct costs. Works with administrative staff to manage logistics for meetings, workshops, and policy dialogues as well as preparing participant materials.Under the guidance of the Deputy Project Director, takes a lead role in carrying out activities including workplan development and implementation, consultant oversight, reporting as well as budget oversight. Monitors and documents project outcomes and impacts. Meets USAID project reporting requirements in a timely and comprehensive manner, in coordination with other PRB staff.Liaises with USAID mission staff; the role may include briefing donors/partners on project activities and participating in partner-supported conferences or meetings.Required Qualifications:Bachelor's degree in public health, sociology, demography, or another related field plus at least 7 years of project management experience or master’s degree and at least 5 years of project management experience.Excellent written and verbal communications skills with attention to detail. Ability to perform multiple tasks and prioritize according to staff needs and deadlines. Ability to work independently. Willingness to work a flexible schedule, with ability to work in the evenings to participate in meetings with US-based PRB staff.  Familiarity with family planning, reproductive health, and/or population stakeholders in Kenya.Excellent organizational, writing, and oral presentation skills. Proficiency in Skype, GoToMeeting and other web-based communication platforms.Strong interpersonal skills and demonstrated ability to build relationships with stakeholders, local partners, host country governments, and international donor agencies—especially USAID.Willingness to travel within Kenya to implement project activities (up to 40%).Kenya National or legal Resident with the ability to work legally in Kenya without sponsorship. Preferred Qualifications:Familiarity with USAID reporting mechanisms and databases.Holds established relationships with Kenyan reproductive health and demographic institutions and stakeholders, with firsthand knowledge of the capabilities, strengths, and weaknesses of these institutions and stakeholders.Significant experience in population, family planning, and reproductive health issues in Kenya.Experience working with Population, Health, and Environment (PHE) implementing organizations.Experience conducting policy analyses, using data and evidence to advocate for policy change, and designing advocacy strategies.Solid skills in translating data, synthesizing, and writing for non-technical policy audiences.Experience working with Kenyan government institutions and parastatal organizations.Travel:This position requires travel within Kenya, up to 40 percent of the time Salary and Benefits: Salary will be commensurate with qualifications and experience. An excellent benefit package will be offered. Applications:Please submit resume and cover letter with salary requirements with the subject line “Senior Program Officer”. We are looking to fill this position as soon as possible. Applications will be reviewed immediately upon receipt. (Applications will be reviewed on a rolling basis until the position is filled)."
Accountant,"
                                Artemis Outsourcing Limited
                            ","Accounting, Auditing & Finance",Nairobi,Full Time,Recruitment,"
                        KSh
                    
                    Confidential
                ","
                    19h
                ",Minimum Qualification: Bachelor,Experience Length: 2 years,Experience Level: Entry level,CPA (K),Bachelor’s Degree in Commerce.,Bachelor’s Degree in Commerce.,Minimum of 2 years’ relevant experience in a busy organization. ,Computer literate.,"
                        Job Summary
                    
                        Ideal candidate should be a CPA (K). Bachelor’s Degree in Commerce with a minimum of 2 years’ relevant experience in a busy organization. 
                    Minimum Qualification: BachelorExperience Level: Entry levelExperience Length: 2 years","SALARY: Ksh. 30,000The main duties and responsibilities include but are not limited to the below:Be involved in posting various entries into the systemCarry out bank reconciliations for various bank accountsCarry out reconciliations of revenue collection control accountsMaintain and update various expense and balance sheet schedules Prepare various internal reports on a daily, monthly and periodic basis within defined reporting deadlinesPrepare various reports required by stakeholders on a monthly basisCarry out periodic updates of expected outturns of the financial performance of the companyBe involved in and support the annual budgeting processBe involved and provide support in the annual auditIn charge of financial record keeping and annual audit for related companiesProvide support to the regional accountant as and when requiredAny other duties assigned and stand in as replacement to the staff within the department as and when requiredQualifications and Experience:CPA (K)Bachelor’s Degree in Commerce.Minimum of 2 years’ relevant experience in a busy organization. Computer literate.Excellent communication, analytical, problem solving and decision making skills Only shortlisted candidates will be contacted."
Office Assistant,"
                                Pharmeko East Africa Limited
                            ",Administrative & Office,Nakuru,Full Time,"Agriculture, Fishing & Forestry",NA,"
                    1d
                ",Minimum Qualification: Diploma,Experience Length: 1 year,Experience Level: Entry level,Handling incoming calls and other communications.,Managing filing system.,Managing filing system.,Recording information as needed.,Receiving clients and visitors as needed.,"
                        Job Summary
                    
                        A lady to handle organization and clerical task in a farm. Tasks include data entry, filing, taking inventory, keeping records and sorting checks. Should be knowledgeable in Microsoft office.
                    Minimum Qualification: DiplomaExperience Level: Entry levelExperience Length: 1 year","SALARY: KSH. 15,000Job ResponsibilitiesHandling incoming calls and other communications.Managing filing system.Recording information as needed.Receiving clients and visitors as needed.Updating paperwork, maintaining documents and word processing.Helping organize and maintain office common areas.Performing general office clerk duties and errands.Coordinating events as necessary.Maintaining supply inventory.Maintaining office equipment as needed.Aiding with client reception as needed.Experience as a virtual assistant.Creating, maintaining, and entering information into databases.Qualifications At least 1 year experience in similar positionSelf-driven, mature, clean and well organizedExcellent communication skillsTeam player with good attitude towards work and colleagues."
