"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method","diff_days"
"Support and Data intern",2019-04-26,NA,"Ona Data","Graduate Jobs / Internships +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,"



Develop and maintain support documentation on user guides, training programs, processes, and procedures for the ONA platform feature and custom solutions for client projects.





Represent the company and through client and potential client interactions spread the word and support the sale of our products, services, and solutions.



",NA,NA,"Please send the following to jobs+support-data-intern@ona.io:",NA
"Data analytics lead",2019-04-26,NA,"Ona Data","Media / Advertising / Branding +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

6 years",NA,NA,NA,"Please send the following to jobs+support-data-intern@ona.io:",NA
"Planning and Data Analyst",2019-04-25,2019-04-30,"Wananchi Group","ICT / Computer +","Nairobi","Full Time","Consulting","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"Interested and qualified candidates to submit their application including a detailed CV and day time telephone contact to recruit@ke.wananchi.com on or before 30th April 2019.",5
"Data Analytics lead",2019-04-25,NA,"Ona Data","ICT / Computer +Media / Advertising / Branding +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

6 years",NA,NA,NA,"Please send the following to jobs+data-lead@ona.io",NA
"Portfolio Data Engineer",2019-04-16,NA,"Jumo World","Engineering / Technical +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

3 - 7 years","

Design, implement, and maintain the software and appliances that constitute JUMO's data platform, enabling effective and efficient use of data across the organisation.

Research of new technologies ensuring that JUMO's data platform remains as effective and efficient as possible.

Mentoring of team members and peer work review, ensuring quality of the team's output and encouraging skills development within the team.

Lead small teams of engineers to drive projects to completion using agile principles.

Operational support of the JUMO data platform to ensure continuous overall system integrity.

",NA,NA,"Interested and qualified? Go to Jumo World career website on boards.greenhouse.io to apply",NA
"Data Management Officer.",2019-04-11,NA,"Kenya Red Cross Society","ICT / Computer +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Data Analyst",2019-04-11,NA,"Busara Center","ICT / Computer +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,"

Assist project teams in design of data collection tools, data downloading and uploading from mobile devices such as PDAs, Netbooks and smartphones.

Collate, query and clean data coming in from field and lab projects, including flagging out inconsistencies and/or errors arising from data obtained from the field as part of routine data checks

Data cleaning and preparation for analysis, including well labelled and appropriately shaped data

Maintain detailed and informative documentation on data cleaning, high frequency checks, error checking, and documentation

Statistical analysis on experimental and non-experimental datasets

Presenting data from analysis using appropriate tables and visualizations

Collaborate with project teams (associates, research specialists and analysts) throughout the project lifecycle, ensuring that tools are designed in a way that study objective can be realized and that necessary hypotheses can be tested

Collaborate and work closely with the programming team to integrate statistical analysis within developed software applications.

","

Over 1 year(s) working experience in an analytics or research capacity.

A relevant degree in Statistics, Economics or Mathematics

Extensive experience with and command of either Stata, R, or Python required.

Familiarity with interacting with SQL databases.

Knowledge of survey programming (SurveyCTO and ODK)

Demonstrated experience with statistical analysis and data modeling in both academic and professional settings

Applied experience with machine learning techniques.

Excellent management and organizational skills, strong communication skills.

Flexible, self-motivating, able to manage multiple tasks efficiently and a team player.

Interest and experience working in a fast-paced working environment.

Fluency and excellent communication and writing skills with a mastery of English.

Familiarity with Behavioral Sciences is a plus.

Familiarity with Version Control System e.g Git is a plus

",NA,"Interested and qualified? Go to Busara Center career website on busara.workable.com to apply",NA
"Data Science Intern",2019-04-04,2019-04-10,"Ongoza","Graduate Jobs / Internships +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to Ongoza career website on docs.google.com to apply",6
"Database Administrator",2019-04-04,NA,"Dlight","ICT / Computer +","Nairobi","Full Time","Manufacturing / Production / FMCG","BA/BSc/HND <U+00A0>",NA,"

Solutions-oriented thinking; always looking for the smart solution to a problem rather than jumping at the first answer;

Lead database strategy; know what type of engine to use, strategy to adopt (Sharding, Partitioning, Clustering etc), and overall data modelling strategy;

Execute in a hands-on capacity alongside the team on projects and day-to-day technical work;

Operate with agile methodologies;

Participate in design, development and deployment of API<U+0092>s and/or microservices to integrate across multiple new and existing applications, from a database perspective;

Collaborate with front-end developers and other team members to establish objectives, design and deliver cohesive business systems and enhanced user experience;

Advise Management on Long-Term Capacity Plans and Growth;

Analyze Impact of Database Changes to the Business;

Most importantly, lead the development of a large scale data warehouse/lake for the business.

",NA,NA,"Submit CV and Cover letter to hr.africa@dlight.com",NA
"Data Management Officer",2019-03-29,2019-04-17,"Kericho County","ICT / Computer +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>",NA,NA,"

Bachelor<U+0092>s degrees in any of the following: Geometrics, Geoinformatics, Geography, Geospatial Engineering, Land Surveying and Photogrammetry or its equivalent.

Certificate in computer applications

",NA,"Use the link(s) below to apply on company website.",19
