"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method"
"Investment Officer",2019-04-29,NA," SunFunder","Finance / Accounting / Audit  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to SunFunder career website on www.linkedin.com to apply"
"Multi-Media Graphic Designer",2019-04-29,NA," Equity Bank Kenya","Media / Advertising / Branding  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Equity Bank Kenya career website on www.linkedin.com to apply"
"Senior Broadcast Journalist (Digital), BBC Africa",2019-04-29,NA," BBC World Service","Media / Advertising / Branding  ","Nairobi","Full Time"," Media / Radio / TV","BA/BSc/HND   ",NA,"
Filter Jobs


County | Search by region instead




- Select County -




Baringo
Bomet
Bungoma
Busia
Chuka
Eldoret
Elgeyo Marakwet
Embu
Garissa
Homa Bay
Isiolo
Kajiado
Kakamega
Karatina
Kericho
Kerugoya
Kiambu
Kilifi
Kirinyaga
Kisii
Kisumu
Kitale
Kitengela
Kitui
Kwale
Laikipia
Lamu
Machakos
Makueni
Mandera
Marsabit
Meru
Migori
Mombasa
Muranga
Nairobi
Nakuru
Nandi
Nanyuki
Narok
Nyamira
Nyandarua
Nyeri
Samburu
Siaya
Taita Taveta
Tana River
Tharaka Nithi
Thika
Trans Nzoia
Turkana
Uasin Gishu
Vihiga
Wajir





- Select Region -


Field




- Select Field -




Administration / Secretarial
Agriculture/Agro-Allied
Art / Crafts / Languages
Aviation / Airline
Banking
Building and Construction
Catering / Confectionery
Consultancy
Customer Care
Education / Teaching
Engineering / Technical
Finance / Accounting / Audit
General
Graduate Jobs / Internships
Hospitality / Hotel / Restaurant
Human Resources / HR
ICT / Computer
Insurance
Janitorial Services
Law / Legal
Logistics
Manufacturing
Media / Advertising / Branding
Medical / Health
MyJobMag
NGO/Non-Profit
Oil and Gas / Energy
Pharmaceutical
Procurement / Store-keeping / Supply Chain
Project Management
Real Estate
Research / Data Analysis
Safety and Environment / HSE
Sales / Marketing
Security / Intelligence
Transportation and Driving
Travels &amp; Tours


Industry




- Select Industry -




Advertising / Branding / PR
Agriculture / Agro-Allied
Aviation / Airline
Banking / Financial Services
Building / Construction
Consulting
Creative / Arts
Education / Teaching / Information
Engineering / Technical
Food Services
General
Government
Healthcare / Medical
Hospitality
ICT / Telecommunication
Insurance / Investments
Internet / E-commerce
Janitorial Services / Environment
Law / Legal
Logistics and Transportation
Manufacturing / Production / FMCG
Media / Radio / TV
NGO / Non-Profit Associations
Oil and Gas / Marine
Pharmaceuticals
Power / Energy
Professional / Social Associations
Real Estate
Religious
Research
Sales / Marketing / Retail
Science
Security
Travel and Tours


Education




- Select Education -




First School Leaving Certificate (FSLC)
KCSE
NCE
Diploma
BA/BSc/HND
MBA/MSc/MA
PhD/Fellowship
Vocational
Others


Experience


- Select Experience -
1 - 4 years
5 - 10 years
11 - 35 years



Also include jobs without defined experience

Job Title






",NA,NA,"Interested and qualified? Go to BBC World Service career website on careerssearch.bbc.co.uk to apply"
"Project Drivers",2019-04-29,2019-05-06," Madrasa Early Childhood Programme","Project Management  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,"
Delivery and collection of documents and other items to/from various stakeholders
Identify vehicle problems and malfunctions, including, performing routine and non- routine check-up and maintenance.
Maintain and ensure assigned vehicle(s) are always in a neat, clean and good mechanical condition.
Keep an accurate systematic log of journeys made, distances covered and odometer readings in respect of vehicle service and fuel refills
Monitor and report expiration and renewal dates of licenses, insurance covers, road rescue registrations and other applicable services, to ensure timely renewal.
Perform any other duties as assigned by the supervisor.
","
Kenya Certificate of Secondary Education
Valid Driver’s License and Certificate of Good Conduct.
At least 3 years’ experience providing executive driving services. Prior working experience with an NGO will be an added advantage
Thorough knowledge of traffic laws and traffic patterns is desired.
Prior training in defensive driving principles is desired
Knowledge of the local language is a must
",NA,"Interested and qualified individuals should send application letters, CVs and contact information of three professional referees to recruit.mecpk@akfea.org, clearly indicating the preferred work station not later than 6th May, 2019."
"Estate Manager",2019-04-29,NA," Brites Management","Real Estate  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ","
3 years ","
Managing the estate’s daily activities
Ensure utility bills are paid in time to avoid penalties
Sourcing for tenants and ensuring full occupancy
Vetting the tenants before leasing the houses
Issuing tenancy/ lease agreements
Attending board meetings and doing presentations
Holding meetings with estate sub committees and updating them
Supervise and maintain relationships with service providers- Security firm, Cleaning Services, Garbage collection and all other service providers
Ensure compliance with all safety and security rules & regulations
Manage contractors that have been engaged for services
Responding appropriately to emergencies or urgent issues as and when they arise
Charge and Collect rents and other fees in accordance with lease agreements
Recommends changes to rents and fees in accordance with market changes
Follow procedures outlined in the lease agreement for late collection
Monitor resident/tenant turnover
Ensure all properties are let out on timely basis
Review and approve all applicant files prior to move in
","
Over 3 years’ experience as an estate manager/ property manager.
Qualifications in Real Estate Management or a related field
Ability to create strong professional relationships with the key stake holders.
Ability to take decisions and ensure no bottleneck on the work flow.
Excellent written and verbal communication skills.
",NA,"If qualified and interested in this role send your CV quoting relevant skills, qualifications and experience to recruitment@britesmanagement.com"
"Chief of Party MPCS (USAID Kenya & East Africa)",2019-04-29,NA," EnCompass","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,"
Advanced degree in management, organizational development, international development, economics, statistics, or a related field is strongly preferred. Ph.D. desired but not required.
At least 10 years of experience on projects supporting performance monitoring, evaluation, and/or data use for decision-making, preferably for USAID/USG awards
",NA,NA,"Use the link(s) below to apply on company website."
"Deputy Chief of Party DCOP MPCS (USAID Kenya & East Africa)",2019-04-29,NA," EnCompass","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
7 years ",NA,"
Advanced degree in management, organizational development, international development, economics, statistics, or a related field is strongly preferred.
At least 7 years of experience on projects supporting performance monitoring, evaluation, and/or data use for decision-making, preferably for USAID/USG awards
",NA,"Use the link(s) below to apply on company website."
"Director of Finance & Administration MPCS (USAID Kenya & East Africa",2019-04-29,NA," EnCompass","Administration / Secretarial  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
8 years ","
Advanced degree in accounting, finance, business administration or related discipline
Minimum of eight (8) years of experience managing, in roles of increasing responsibility: finance, procurement, accounting, logistics and/or human resource related matters for international development activities of a similar contract size
","
Advanced degree in accounting, finance, business administration or related discipline
Minimum of eight (8) years of experience managing, in roles of increasing responsibility: finance, procurement, accounting, logistics and/or human resource related matters for international development activities of a similar contract size
",NA,"Use the link(s) below to apply on company website."
"Gender Specialist MPCS (USAID Kenya & East Africa)",2019-04-29,NA," EnCompass","Administration / Secretarial  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,"
Graduate degree in international development, organizational development, social science, or a related field preferred
No less than five years of demonstrated experience in gender analysis, gender integration, and/or gender-based violence, with preference for work on USG-funded activities
",NA,"Use the link(s) below to apply on company website."
"Resilience Advisor in Kenya - Junior EU Aid Volunteer",2019-04-29,2019-05-16," Danish Refugee Council","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"We only accept online applications via the EU Platform. To apply you must go to the job advert on the EU Platform by clicking on the link above. At the bottom of the vacancy text you need to click on “apply.”"
