"field","field_count","title","n"
"ICT / Computer/ Engineering",116,"Access Transport Planning Engineer",1
"ICT / Computer/ Engineering",116,"Administrator",1
"ICT / Computer/ Engineering",116,"Analyst Business Intelligence & Analytics",1
"ICT / Computer/ Engineering",116,"Analyst Information Systems Contractor",1
"ICT / Computer/ Engineering",116,"Backend Developer",1
"ICT / Computer/ Engineering",116,"Big Data Engineer",1
"ICT / Computer/ Engineering",116,"Billing Technical Support",1
"ICT / Computer/ Engineering",116,"BSS-Engineer",1
"ICT / Computer/ Engineering",116,"Channels Support Analyst <U+0096> IPCC",1
"ICT / Computer/ Engineering",116,"Core Access Planning Engineer",1
"ICT / Computer/ Engineering",116,"Core Network Engineer",1
"ICT / Computer/ Engineering",116,"Core Network Support",1
"ICT / Computer/ Engineering",116,"Corporate Centres & Finance Delivery Manager",1
"ICT / Computer/ Engineering",116,"Data Scientist",1
"ICT / Computer/ Engineering",116,"Database Administrator",3
"ICT / Computer/ Engineering",116,"Digital Channels Tech Lead",1
"ICT / Computer/ Engineering",116,"Digital NOC Engineer",1
"ICT / Computer/ Engineering",116,"End User Device Support Administrator",1
"ICT / Computer/ Engineering",116,"Engineer - Problem Management",1
"ICT / Computer/ Engineering",116,"Engineer - Radio Access Planning & Design",1
"ICT / Computer/ Engineering",116,"Engineer - Solutions Integration and Testing",2
"ICT / Computer/ Engineering",116,"Engineer - VAS Products",1
"ICT / Computer/ Engineering",116,"Engineer Home Customer Support",1
"ICT / Computer/ Engineering",116,"Enterprise Customer Support",1
"ICT / Computer/ Engineering",116,"Enterprise Customer Support Engineer",1
"ICT / Computer/ Engineering",116,"Enterprise Segments Manager",1
"ICT / Computer/ Engineering",116,"Enterprise Systems Support Analyst",2
"ICT / Computer/ Engineering",116,"Evergreen Requisition - User Interface Designer",1
"ICT / Computer/ Engineering",116,"Evergreen Requisition <U+0096> Interaction Designer",1
"ICT / Computer/ Engineering",116,"Evergreen Requisition <U+0096> Software Developer (Persons With Disability <U+0096> PWD)",1
"ICT / Computer/ Engineering",116,"Field Operations Engineer-Fibre Network",1
"ICT / Computer/ Engineering",116,"Financial Systems Delivery Manager",1
"ICT / Computer/ Engineering",116,"Fixed Data Access Engineer",1
"ICT / Computer/ Engineering",116,"Functional Testing Engineer",1
"ICT / Computer/ Engineering",116,"Functional Testing Lead",1
"ICT / Computer/ Engineering",116,"Head Of Department- Enterprise Risk",1
"ICT / Computer/ Engineering",116,"Head of Digital IT",1
"ICT / Computer/ Engineering",116,"Head of Engineering",1
"ICT / Computer/ Engineering",116,"Head Of Engineering",1
"ICT / Computer/ Engineering",116,"Head of M-Pesa Risk and Compliance",1
"ICT / Computer/ Engineering",116,"Head of Product",1
"ICT / Computer/ Engineering",116,"Home Implementation Manager",1
"ICT / Computer/ Engineering",116,"Home Technical Support Manager",1
"ICT / Computer/ Engineering",116,"Information Risk Senior Officer",1
"ICT / Computer/ Engineering",116,"Infrastructure Planning <U+0096> Systems Administrator",1
"ICT / Computer/ Engineering",116,"IP Planning and Optimisation Engineer",1
"ICT / Computer/ Engineering",116,"IT Solutions Architect",2
"ICT / Computer/ Engineering",116,"Lead Data Scientist",1
"ICT / Computer/ Engineering",116,"Lead Data Scientist - Contractor",1
"ICT / Computer/ Engineering",116,"Manager - Automation Testing Lead",1
"ICT / Computer/ Engineering",116,"Manager - International Voice",1
"ICT / Computer/ Engineering",116,"Manager - Regional Account",1
"ICT / Computer/ Engineering",116,"Manager <U+0096> Channels Solutions",1
"ICT / Computer/ Engineering",116,"Manager Analytics Systems Support",1
"ICT / Computer/ Engineering",116,"Manager Cyber Risk",1
"ICT / Computer/ Engineering",116,"Manager Data Engineering",1
"ICT / Computer/ Engineering",116,"Microservices & Apis Tech Lead",1
"ICT / Computer/ Engineering",116,"Network Optimization Engineer",1
"ICT / Computer/ Engineering",116,"Non - Functional Testing Lead",2
"ICT / Computer/ Engineering",116,"Principal <U+0096> Corporate Security Business Partner, Commercial",1
"ICT / Computer/ Engineering",116,"Principal Enterprise Architect",1
"ICT / Computer/ Engineering",116,"Principal IP Planning & Design Engineer",1
"ICT / Computer/ Engineering",116,"Principal IP Planning Engineer",1
"ICT / Computer/ Engineering",116,"Principal Officer",1
"ICT / Computer/ Engineering",116,"Principal Officer-Category Sourcing",1
"ICT / Computer/ Engineering",116,"Principal Security Architecture",1
"ICT / Computer/ Engineering",116,"Principal, Technology Security Assurance Officer",1
"ICT / Computer/ Engineering",116,"Principle Officer <U+0096> Enterprise Insights",1
"ICT / Computer/ Engineering",116,"Product Owner",1
"ICT / Computer/ Engineering",116,"Products Analyst (Enterprise Business Unit)",1
"ICT / Computer/ Engineering",116,"Program Manager",1
"ICT / Computer/ Engineering",116,"Quality Analyst",1
"ICT / Computer/ Engineering",116,"Quality Assurance - Non-Functional Testing Engineer",1
"ICT / Computer/ Engineering",116,"Quality Assurance - Test Automation Engineer",1
"ICT / Computer/ Engineering",116,"Quality Assurance Operations & Governance Engineer",1
"ICT / Computer/ Engineering",116,"RAN Optimization Engineer",1
"ICT / Computer/ Engineering",116,"Regional Field Engineer",1
"ICT / Computer/ Engineering",116,"Regional Support Core Engineer",1
"ICT / Computer/ Engineering",116,"Reporting Analyst",1
"ICT / Computer/ Engineering",116,"Revenue Management Product Development Engineer",1
