"industry","industry_count","field","field_count"
"Banking / Financial Services",2079,"Administration / Secretarial +",105
"Banking / Financial Services",2079,"Administration / Secretarial + Finance / Accounting / Audit +Graduate Jobs / Internships +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Banking +",17
"Banking / Financial Services",2079,"Administration / Secretarial +Banking +Customer Care +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Banking +Finance / Accounting / Audit +",3
"Banking / Financial Services",2079,"Administration / Secretarial +Banking +ICT / Computer +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Building and Construction +Engineering / Technical +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Consultancy +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Customer Care +",3
"Banking / Financial Services",2079,"Administration / Secretarial +Education / Teaching +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Finance / Accounting / Audit +",15
"Banking / Financial Services",2079,"Administration / Secretarial +Finance / Accounting / Audit +Graduate Jobs / Internships +Law / Legal +Research / Data Analysis +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Finance / Accounting / Audit +Sales / Marketing +",1
"Banking / Financial Services",2079,"Administration / Secretarial +General +",2
"Banking / Financial Services",2079,"Administration / Secretarial +Graduate Jobs / Internships +",3
"Banking / Financial Services",2079,"Administration / Secretarial +Graduate Jobs / Internships +Procurement / Store-keeping / Supply Chain +Sales / Marketing +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Hospitality / Hotel / Restaurant +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Human Resources / HR +",11
"Banking / Financial Services",2079,"Administration / Secretarial +ICT / Computer +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Law / Legal +",2
"Banking / Financial Services",2079,"Administration / Secretarial +Law / Legal +Safety and Environment / HSE +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Project Management +",1
"Banking / Financial Services",2079,"Administration / Secretarial +Real Estate +",2
"Banking / Financial Services",2079,"Administration / Secretarial +Sales / Marketing +",4
"Banking / Financial Services",2079,"Agriculture/Agro-Allied +",4
"Banking / Financial Services",2079,"Agriculture/Agro-Allied +Customer Care +",1
"Banking / Financial Services",2079,"Agriculture/Agro-Allied +Finance / Accounting / Audit +",1
"Banking / Financial Services",2079,"Art / Crafts / Languages +",1
