date,source,headline,entities
2010-02-02,daily_nation,US lauds Kenyan efforts on graft war,usa
2010-02-13,standard,Graft: Four PSs on suspension yet to know fate,"karega mutahi, romano kiome, ali mohamed, sammy kirui"
2010-02-20,standard,Kacc to probe fraud corruption in power utility firm,"eacc, kplc"
2010-04-16,standard,Judiciary hindering anti-graft war blocking reforms,judiciary
2010-06-15,standard,KRA and clearings agents accused of abetting corruption,kra
2010-07-03,daily_nation,Kenya anti-graft czar Lumumba takes office,"kenya, lumumba"
2010-07-14,standard,Kenya: 26 MPs call for fairness in war on graft,parliament
2010-08-08,daily_nation,Kenyan Judges to quit rather than face graft probe,judges
2010-09-28,daily_nation,Kacc to monitor registration office over graft,eacc
2010-10-28,daily_nation,Kosgey appears before graft team over 3 cars,kosgey
2010-10-28,daily_nation,WAMWERE: Top leadership must be in the forefront if the battle on corruption is to be won,wamwere
2010-10-29,standard,School to miss out on CDF allocation for three years over alleged graft,cdf
2010-11-07,standard,Majiwa withdraws bid to have graft report quashed,majiwa
2010-11-14,daily_nation,KISERO: Enthusiasm against corruption may not last,kisero
2010-11-14,daily_nation,KERROW: For how long will government keep pretending graft is under control?,kerrow
2010-11-15,standard,Calls for Ruto arrest on claims of witness bribery,ruto
2010-11-17,business_daily,Lumumba takes fight against graft to schools,lumumba
2010-12-03,business_daily,Wikileaks founder Assange to release documents on <U+91>ecosystem of corruption<U+92> in corporate world,"wikileaks, assange"
2010-12-09,business_daily,Registrar of firms grilled over graft at Water ministry,water ministry
2010-12-15,business_daily,KACC<U+92>s Sh35 billion cases a tip of the graft iceberg,eacc
2011-01-02,daily_nation,Lumumba: Stop trying to scuttle the ship fighting graft,lumumba
2011-02-16,standard,Voter bribery claims at Kirinyaga Central by-elections,kirinyaga central
2011-02-27,daily_nation,Kibaki urges Kenyans to join graft war,kibaki
2011-03-03,daily_nation,WikiLeaks: <U+91>Kibaki unwilling to act on graft<U+92>,"wikileaks, kibaki"
2011-03-06,daily_nation,Chirac goes on trial for corruption,chirac
2011-03-17,daily_nation,WikiLeaks tells of piles of cash to bribe MPs,"wikileaks, parliament"
2011-05-03,business_daily,IMF blames graft for slowing down investor interest,imf
2011-05-15,standard,Mutula roots for death penalty for those found guilty of corruption,mutula
2011-05-26,standard,Official put to task over KACC achievements in war on graft,eacc
2011-05-27,standard,Nema board suspends two directors over graft,"nema, aketch sewe"
2011-06-09,standard,Former PS grilled over Sh5 million bribery allegation,sammy kirui 
2011-07-17,daily_nation,27 graft cases get Tobiko nod for prosecution,tobiko
2011-07-27,standard,KeNHA seeks to tame corruption at weighbridges,kenha
2011-07-28,business_daily,Vet Ministry of Lands officials to eradicate graft,ministry of lands
2011-07-28,daily_nation,WANYONYI: It would be better for KACC to focus on preventing graft,"wanyonyi, eacc"
2011-07-30,standard,Mbarire tried to bribe me says anti-corruption boss,"mbarire, lumumba"
2011-08-07,daily_nation,ABDULLAHI: The fear of corruption proceeds financing elections,abdullahi
2011-08-23,daily_nation,Mbarire threatens to sue over bribery claims,mbarire
2011-08-23,daily_nation,Sonko tells of bribery bid and Sh5m theft,sonko
2011-08-24,standard,Principals pick Matemu to chair anti-graft body,"matemu, eacc"
2011-08-25,daily_nation,Mbarire now strikes back at anti-graft boss,"eacc, mbarire"
2011-08-26,daily_nation,MUTUMA: Like Caesar<U+92>s wife top graft-busters must at all times be above,"mutuma, caesar"
2011-08-26,daily_nation,Anti-graft board probes payment row,eacc
2011-08-31,business_daily,We must strengthen not weaken anti-graft body,eacc
2011-09-03,daily_nation,KWAMCHETSI: Out commitment to ending corruption shines through laws and graft busters,kwamchetsi
2011-09-06,daily_nation,Chirac absent as corruption trial opens,chirac
2011-09-19,daily_nation,Firm in graft probe had forged documents: KACC,eacc
2011-09-19,daily_nation,Kibaki set to name new anti-graft team,"kibaki, eacc"
2011-09-30,standard,Githu turns attention to stolen wealth,githu
2011-10-01,standard,MPs reject graft body nominees,parliament
2011-10-08,daily_nation,Three ministry officials face graft charges,"special programmes ministry, moses gitari, shidzugane isindu, muchemi nduguya "
2011-10-16,daily_nation,ABDULLAHI: Voodoo economics and development corruption,abdullahi
2011-10-19,business_daily,Anti-graft team summons Ngilu after CID visit,"eacc, ngilu, cid"
2011-10-24,business_daily,Judiciary and port lift Kenya<U+92>s bribery ratings in E. Africa,"judiciary, kpa, east africa"
2011-10-25,business_daily,Women shy away from Kenya's anti-graft job,eacc
2011-11-02,daily_nation,Treasury refunds stolen donor cash,treasury
