source,date,headline,entities
daily_nation,2008-11-04,Similarities in US election and Kibaki-Uhuru contest in 22,"usa, kibaki, uhuru"
standard,2009-09-18,"How vote turned tables on Uhuru, Ruto barter trade","uhuru, ruto"
standard,2009-09-28,Uhuru to ask for more funds at IMF World Bank meeting,"uhuru, imf, world bank"
standard,2010-01-07,Raila ahead of Uhuru in Central Provinces approval ratings,"raila, uhuru, central"
standard,2010-02-24,Uhuru Signs Japan 3 ...,"uhuru, japan"
standard,2010-06-03,Raila upstages Uhuru by announcing Sh553m for CoE,"raila, uhuru, coe"
standard,2010-06-27,Uhuru to face House team for breach of CDF Ac,"uhuru, cdf"
standard,2010-07-21,Speaker orders Uhuru to address House on pay row,"uhuru, marende"
standard,2010-08-10,You are on your own Uhuru tells Wetang'ula in embassy land saga,"uhuru, wetangula"
standard,2010-08-16,Central leaders urge Uhuru to carry region's flag,"uhuru, central"
standard,2010-08-18,"What are Uhuru, Ruto and Kalonzo up to?","uhuru, ruto, kalonzo"
standard,2010-09-28,Tempers flare as Uhuru grilled on Charter House,"uhuru, charter house"
standard,2010-10-12,Kenya economy to grow at 5pc Uhuru tells World Bank,"kenya, uhuru, world bank"
standard,2010-10-13,Uhuru envoy set to address Diaspora in US,"uhuru, usa"
standard,2010-10-13,Two MPs disown Uhuru in Kibaki succession plo,"uhuru, kibaki"
daily_nation,2010-10-17,MUTUA: What if Ocampo were to indict Uhuru?,"mutua, ocampo, uhuru"
daily_nation,2010-11-14,Saitoti Kalonzo and Uhuru strike 212 poll pac,"saitoti, kalonzo, uhuru"
standard,2010-11-29,MPs hint at Ruto-Uhuru pac,"ruto, uhuru"
standard,2011-02-09,Uhuru says he'll defy Ocampo orders,"uhuru, ocampo"
daily_nation,2011-02-19,"GAITHO: Raila, Uhuru true sons of their fathers","gaitho, raila, uhuru"
standard,2011-03-01,US secret Cables claim Uhuru has edge in race,"usa, uhuru"
standard,2011-03-07,Uhuru/ Ruto/ Eugene p...,"uhuru, ruto, eugene"
standard,2011-03-09,"ICC Summonses for Muthaura, Uhuru Ali","icc, muthaura, uhuru, ali"
standard,2011-03-17,"Dissenting  by Judge Kaul for Muthaura, Uhuru Ali","judge kaul, muthaura, uhuru, ali"
daily_nation,2011-03-26,GAITHO: Is Uhuru-Ruto alliance a repeat of tactics to contain Raila?,"raila, uhuru, ruto, gaitho"
daily_nation,2011-04-01,"Ruto, Uhuru allies train their guns on Raila","uhuru, raila, ruto"
standard,2011-04-03,Uhuru and Ruto in Bom...,"uhuru, ruto, bomet"
standard,2011-04-03,"Uhuru, Ruto alliance ruffles political feathers","uhuru, ruto"
standard,2011-04-03,"Raila tells off Ruto, Uhuru over criticism","raila, ruto, uhuru"
daily_nation,2011-04-11,Uhuru and Ruto vow to preach peace,"uhuru, ruto"
daily_nation,2011-07-14,Uhurus allies to run council,"uhuru, kirinyaga"
daily_nation,2011-08-01,Raila and Uhuru in search of votes,"raila, uhuru"
standard,2011-08-17,Uhuru's MoU with IMF fuelling county funding row,"uhuru, imf"
standard,2011-08-22,Uhuru expected at Wamalwas memorial,"uhuru, kijana wamalwa"
standard,2011-08-23,Knut puts Uhuru on notice over jobs,"uhuru, knut"
business_daily,2011-08-26,Uhuru turns heat on CBK over weak shilling inflatio,"uhuru, cbk"
standard,2011-08-30,CBK scrambles to cool rates after Uhurus alert,"cbk, uhuru"
daily_nation,2011-09-04,MUTUA: Why Kibaki wont declare Uhuru Tosha,"makau, kibaki, uhuru"
daily_nation,2011-09-04,Why Uhuru and Ruto may sit out 212 race,"uhuru,ruto"
daily_nation,2011-09-06,"GAITHO: Ruto, Uhuru might treat Ocampo to forbidden delights of Amsterdam","gaitho, ruto, uhuru, ocampo, amsterdam"
standard,2011-09-08,Why Uhuru annoyed Knut officials,"uhuru, knut"
daily_nation,2011-09-14,ICC allows Uhuru to change witness,"icc, uhuru"
daily_nation,2011-09-16,Uhuru to take witness stand at ICC hearings,"uhuru, icc"
standard,2011-09-16,Uhuru takes a big risk on ICC,"uhuru, icc"
daily_nation,2011-09-21,Muthaura Ali and Uhuru to take the stand at ICC,"muthaura, ali, uhuru, icc"
business_daily,2011-09-23,ICC prosecutor lays out evidence against Uhuru,"icc, uhuru"
daily_nation,2011-09-25,"Uhuru, Muthaura gave Mungiki police uniforms","uhuru, muthaura, mungiki"
daily_nation,2011-09-26,"Muthaura, Uhuru defence lay blame for violence on Ali","muthaura, uhuru, ali"
daily_nation,2011-09-30,Uhuru takes witness stand at the ICC,"uhuru, icc"
daily_nation,2011-09-30,"Uhuru, Muthaura Ali at ICC","uhuru, muthaura, ali, icc"
standard,2011-09-30,Uhuru tears into Ocampo evidence,"uhuru, ocampo"
daily_nation,2011-10-01,I never linked the Mungiki to Uhuru MP tells ICC,"uhuru, icc, mungiki"
business_daily,2011-10-14,Uhuru cuts banks forex trading to tame rates,"uhuru, banks"
standard,2011-10-14,Speaker bars Uhuru from conducting business in House,"uhuru, speaker"
standard,2011-10-17,Karua defies 'Uhuru wave' in Central Kenya,"karua, uhuru, central"
business_daily,2011-10-19,Treasury has no names of rogue banks Uhuru says,"treasury, uhuru, banks"
standard,2011-10-24,Ruto plans to block Uhuru from presidency,"uhuru, ruto"
daily_nation,2011-11-03,Ocampo trashes Uhuru group claims,"ocampo, uhuru"
standard,2011-11-14,PNU Alliance splits as Uhuru allies form UDF party,"pnu, uhuru, udf"
daily_nation,2011-11-20,ICC seeks embargo on Uhuru and Ruto assets,"icc, uhuru, ruto"
standard,2011-11-20,Uhuru: Treasury to construct national schools in all counties,"uhuru, treasury"
daily_nation,2011-11-28,Uhuru allies search for  vehicle after PNU,"uhuru, pnu"
standard,2011-12-17,Uhuru allies take surprise position at Kanu retrea,"uhuru, kanu"
daily_nation,2012-01-02,2 parties plan pact with Uhurus Kanu,"uhuru, kanu"
standard,2012-01-02,Uhuru Kalonzo Saitoti asked to join PNU or lose 1.5m voters blo,"uhuru, kalonzo, saitoti, pnu"
standard,2012-01-08,Uhuru Saitoti rivalry ahead of PNU recruitment drive,"uhuru, saitoti, pnu"
daily_nation,2012-01-12,"Raila, Uhuru, Ruto in top election gear","raila, uhuru, ruto"
standard,2012-01-13,Kalonzo Uhuru and Ruto firmly in PNU Alliance says Kirait,"kalonzo, uhuru, pnu, kiraitu"
daily_nation,2012-01-17,ONYANGO: Uhuru and Ruto the race is still ope,"onyango, uhuru, ruto"
daily_nation,2012-01-18,Uhuru and Ruto: ICC ruling will not stop us,"uhuru, ruto, icc"
daily_nation,2012-01-18,"Raila, Uhuru sued in IDP row","raila, uhuru, idps"
standard,2012-01-19,"Mutula: Ruto, Uhuru to end State House bid if ICC confirms charges","mutula, uhuru, state house, icc"
daily_nation,2012-01-22,OPANGA: What gives Uhuru and Ruto such confidence?,"opanga, uhuru, ruto"
